"PROVNUM","avg_share_hrs_all","avg_share_hrs_rn","avg_share_hrs_lpn","avg_share_hrs_cna","months_contract","fac_name","county","state","ownership","hospbase","n_cert_beds","qm_rating","overall_rating","health_inspection_rating","staffing_rating","longstay_qm_rating","nursing_staff_turnover","rn_turnover","na_hprd","lpn_hprd","rn_hprd"
"015009",0,0,0,0,0,"BURNS NURSING HOME, INC.","Franklin","AL","For profit - Corporation","N",57,4,2,2,4,4,36.2,18.2,2.58352,0.42259,1.28749
"015010",0.00484563725561681,0.000754417311892,0.0204848897699983,0,4,"COOSA VALLEY HEALTHCARE CENTER","Talladega","AL","For profit - Corporation","N",85,3,4,4,3,2,NA,NA,2.68476,0.79673,0.82978
"015012",0,0,0,0,0,"HIGHLANDS HEALTH AND REHAB","Jackson","AL","Government - County","N",50,2,4,4,3,1,NA,NA,3.13302,0.70244,1.15282
"015014",0,0,0,0,0,"EASTVIEW REHABILITATION & HEALTHCARE CENTER","Jefferson","AL","For profit - Individual","N",92,2,2,3,1,4,NA,NA,1.9447,0.81716,0.5379
"015015",0,0,0,0,0,"PLANTATION MANOR NURSING HOME","Jefferson","AL","For profit - Individual","N",103,2,2,2,4,2,31.3,25,1.99844,0.83587,0.44682
"015016",0,0,0,0,0,"ATHENS HEALTH AND REHABILITATION LLC","Limestone","AL","For profit - Corporation","N",149,5,5,4,3,4,55.2,50,3.00335,0.74867,0.59143
"015019",0.00618712495981661,0,0.0255839443933156,0,4,"MERRY WOOD LODGE","Elmore","AL","For profit - Limited Liability company","N",124,5,2,1,2,5,58.9,64.7,1.87569,0.44121,0.79967
"015023",0.127591685831574,0,0.422447801525293,0,13,"HATLEY HEALTH CARE INC","Chilton","AL","For profit - Corporation","N",201,3,5,5,3,3,59.3,33.3,1.34667,1.10007,0.83983
"015024",0.000214556771758834,0.00155344509488407,0,0,5,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC","Limestone","AL","For profit - Corporation","N",170,3,2,2,2,4,48.3,31.3,1.93094,1.02072,0.50325
"015027",0,0,0,0,0,"WETUMPKA HEALTH AND REHABILITATION, LLC","Elmore","AL","For profit - Corporation","N",121,3,1,1,2,2,46.2,72.7,2.7711,0.78612,0.28313
"015028",0.00406602865342769,0.0159538110117434,0,0,3,"KELLER LANDING","Colbert","AL","For profit - Corporation","N",109,2,5,5,4,2,35.8,20,1.59211,0.41431,1.08943
"015031",0,0,0,0,0,"MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION","Lauderdale","AL","For profit - Corporation","N",222,3,4,4,4,3,34.3,23.3,1.76764,1.03232,0.70871
